"date","steps","caloriesOut"
2017-01-01,9484,2663
2017-01-02,8595,2585
2017-01-03,4943,2331
2017-01-04,8754,2587
2017-01-05,10083,2719
2017-01-06,9990,2763
2017-01-07,5082,2379
2017-01-08,8696,2591
2017-01-09,11373,2777
2017-01-10,10112,2715
2017-01-11,11240,2811
2017-01-12,11234,2842
2017-01-13,9498,2649
2017-01-14,12835,2918
2017-01-15,6485,2479
2017-01-16,10519,2703
2017-01-17,11446,2831
2017-01-18,13625,3005
2017-01-19,9380,2645
2017-01-20,8985,2589
2017-01-21,4614,2312
2017-01-22,5281,2335
2017-01-23,8983,2609
2017-01-24,10090,2715
2017-01-25,6235,2421
2017-01-26,9791,2659
2017-01-27,11937,2882
2017-01-28,7326,2511
2017-01-29,4259,2259
2017-01-30,9993,2701
2017-01-31,10891,2779
2017-02-01,9788,2685
2017-02-02,10120,2708
2017-02-03,8540,2592
2017-02-04,4055,2265
2017-02-05,5735,2381
2017-02-06,8976,2620
2017-02-07,12567,2900
2017-02-08,8731,2596
2017-02-09,7164,2472
2017-02-10,9247,2641
2017-02-11,7228,2525
2017-02-12,16415,3189
2017-02-13,8470,2540
2017-02-14,10026,2686
2017-02-15,13575,2954
2017-02-16,11330,2774
2017-02-17,17091,3261
2017-02-18,15329,3126
2017-02-19,8553,2547
2017-02-20,10394,2706
2017-02-21,8570,2564
2017-02-22,8666,2565
2017-02-23,11179,2802
2017-02-24,9084,2662
2017-02-25,18681,3416
2017-02-26,4754,2297
2017-02-27,9030,2601
2017-02-28,8760,2597
2017-03-01,11407,2839
2017-03-02,12696,2928
2017-03-03,10502,2747
2017-03-04,10875,2812
2017-03-05,11218,2784
2017-03-06,9825,2695
2017-03-07,8716,2573
2017-03-08,9105,2614
2017-03-09,12508,2879
2017-03-10,11261,2774
2017-03-11,15548,3103
2017-03-12,7350,2463
2017-03-13,8886,2576
2017-03-14,8738,2553
2017-03-15,9128,2618
2017-03-16,11794,2846
2017-03-17,8577,2566
2017-03-18,12028,2818
2017-03-19,3072,2158
2017-03-20,7125,2492
2017-03-21,11026,2741
2017-03-22,8397,2544
2017-03-23,12749,2900
2017-03-24,8886,2595
2017-03-25,4497,2276
2017-03-26,5595,2322
2017-03-27,4456,2230
2017-03-28,8367,2541
2017-03-29,8185,2510
2017-03-30,9377,2598
2017-03-31,13656,2988
2017-04-01,13099,2971
2017-04-02,9774,2633
2017-04-03,10662,2702
2017-04-04,12321,2842
2017-04-05,9370,2604
2017-04-06,8748,2565
2017-04-07,13173,2913
2017-04-08,6925,2456
2017-04-09,8267,2576
2017-04-10,8890,2560
2017-04-11,8243,2508
2017-04-12,11570,2749
2017-04-13,8020,2487
2017-04-14,9788,2654
2017-04-15,13670,2970
2017-04-16,10739,2723
2017-04-17,8153,2510
2017-04-18,9086,2587
2017-04-19,8628,2558
2017-04-20,10274,2684
2017-04-21,11069,2764
2017-04-22,9382,2685
2017-04-23,10914,2780
2017-04-24,8628,2568
2017-04-25,8355,2543
2017-04-26,8421,2552
2017-04-27,10174,2702
2017-04-28,9349,2639
2017-04-29,11257,2804
2017-04-30,4563,2312
2017-05-01,6488,2585
2017-05-02,17042,3583
2017-05-03,18910,3573
2017-05-04,7970,2737
2017-05-05,9075,3060
2017-05-06,9175,3409
2017-05-07,2161,2188
2017-05-08,10136,2986
2017-05-09,8588,2790
2017-05-10,10373,2950
2017-05-11,8997,2842
2017-05-12,12673,3202
2017-05-13,5313,2500
2017-05-14,4573,2412
2017-05-15,9277,2927
2017-05-16,10413,3222
2017-05-17,8975,3156
2017-05-18,10552,3362
2017-05-19,11518,3269
2017-05-20,12104,3605
2017-05-21,3680,2580
2017-05-22,8446,2728
2017-05-23,9669,2849
2017-05-24,7622,2940
2017-05-25,9028,2837
2017-05-26,13065,3243
2017-05-27,5402,2586
2017-05-28,4698,2622
2017-05-29,8719,3016
2017-05-30,12265,3528
2017-05-31,18623,4381
2017-06-01,11620,3330
2017-06-02,7440,2984
2017-06-03,3650,2385
2017-06-04,7275,2968
2017-06-05,10249,3076
2017-06-06,8965,2984
2017-06-07,10336,3118
2017-06-08,13507,3357
2017-06-09,15457,3539
2017-06-10,15633,3375
2017-06-11,4182,2456
2017-06-12,10341,3016
2017-06-13,8505,2839
2017-06-14,18311,3855
2017-06-15,11211,2973
2017-06-16,11603,3085
2017-06-17,16920,3572
2017-06-18,5043,2627
2017-06-19,9871,2983
2017-06-20,9332,2907
2017-06-21,10678,2998
2017-06-22,9534,2890
2017-06-23,10028,3014
2017-06-24,12760,3338
2017-06-25,2886,2283
2017-06-26,8022,2830
2017-06-27,9001,2963
2017-06-28,18023,4050
2017-06-29,10611,3216
2017-06-30,14579,3406
2017-07-01,10691,3203
2017-07-02,2606,2384
2017-07-03,11491,3409
2017-07-04,8948,2962
2017-07-05,9290,2935
2017-07-06,8101,3007
2017-07-07,10204,3205
2017-07-08,12964,3162
2017-07-09,8018,2634
2017-07-10,9005,3008
2017-07-11,10982,3107
2017-07-12,11778,3423
2017-07-13,10321,3083
2017-07-14,9320,2855
2017-07-15,10195,3442
2017-07-16,6500,2641
2017-07-17,3775,2498
2017-07-18,8908,2925
2017-07-19,9117,2990
2017-07-20,11978,3406
2017-07-21,9095,2869
2017-07-22,10704,3215
2017-07-23,2363,2249
2017-07-24,8599,2915
2017-07-25,9740,3141
2017-07-26,8264,2982
2017-07-27,9721,3017
2017-07-28,12158,3200
2017-07-29,9489,2882
2017-07-30,4673,2507
2017-07-31,8852,2812
2017-08-01,9820,2843
2017-08-02,10206,2837
2017-08-03,9507,2819
2017-08-04,18617,3969
2017-08-05,6538,2721
2017-08-06,6900,2638
2017-08-07,7944,2716
2017-08-08,4057,2359
2017-08-09,9619,3056
2017-08-10,10725,3194
2017-08-11,8917,2958
2017-08-12,3896,2423
2017-08-13,1695,2287
2017-08-14,8991,3010
2017-08-15,9913,3124
2017-08-16,16789,3440
2017-08-17,9106,3385
2017-08-18,14190,3613
